ip_address,mac_address,status,vlan
10.39.21.141,,Unreachable,18
10.39.21.142,,Unreachable,18
10.39.21.143,,Unreachable,18
10.39.21.144,,Unreachable,18
10.39.21.145,,Unreachable,18
10.39.21.146,,Unreachable,18
10.39.21.147,,Unreachable,18
10.39.21.148,,Unreachable,18
10.39.21.149,,Unreachable,18
10.39.21.150,,Unreachable,18
10.39.21.151,,Unreachable,18
10.39.21.152,,Unreachable,18
10.39.21.153,,Unreachable,18
10.39.21.154,,Unreachable,18
10.39.21.155,,Unreachable,18
10.39.21.156,,Unreachable,18
10.39.21.157,,Unreachable,18
10.39.21.158,,Unreachable,18
10.39.21.159,,Unreachable,18
10.39.21.160,,Unreachable,18
10.39.21.161,,Unreachable,18
10.39.21.162,,Unreachable,18
10.39.21.163,,Unreachable,18
10.39.21.164,,Unreachable,18
10.39.21.165,,Unreachable,18
10.39.21.166,,Unreachable,18
10.39.21.167,,Unreachable,18
10.39.21.168,,Unreachable,18
10.39.21.169,,Unreachable,18
10.39.21.170,,Unreachable,18
10.39.21.171,,Unreachable,18
10.39.21.172,,Unreachable,18
10.39.21.173,,Unreachable,18
10.39.21.174,,Unreachable,18
10.39.21.175,,Unreachable,18
10.39.21.176,,Unreachable,18
10.39.21.177,,Unreachable,18
10.39.21.178,,Unreachable,18
10.39.21.179,,Unreachable,18
10.39.21.180,,Unreachable,18
10.39.21.181,,Unreachable,18
10.39.21.182,,Unreachable,18
10.39.21.183,,Unreachable,18
10.39.21.184,,Unreachable,18
10.39.21.185,,Unreachable,18
10.39.21.186,,Unreachable,18
10.39.21.187,,Unreachable,18
10.39.21.188,,Unreachable,18
10.39.21.189,,Unreachable,18
10.39.21.190,,Unreachable,18
10.39.21.191,,Unreachable,18
10.39.21.192,,Unreachable,18
10.39.21.193,,Unreachable,18
10.39.21.194,,Unreachable,18
10.39.21.195,,Unreachable,18
10.39.21.196,,Unreachable,18
10.39.21.197,,Unreachable,18
10.39.21.198,,Unreachable,18
10.39.21.199,,Unreachable,18
10.39.21.200,,Unreachable,18
10.39.21.201,,Unreachable,18
10.39.21.202,,Unreachable,18
10.39.21.203,,Unreachable,18
10.39.21.204,,Unreachable,18
10.39.21.205,,Unreachable,18
10.39.21.206,,Unreachable,18
10.39.21.207,,Unreachable,18
10.39.21.208,,Unreachable,18
10.39.21.209,,Unreachable,18
10.39.21.210,,Unreachable,18
10.39.21.211,,Unreachable,18
10.39.21.212,,Unreachable,18
10.39.21.213,,Unreachable,18
10.39.21.214,,Unreachable,18
10.39.21.215,,Unreachable,18
10.39.21.216,,Unreachable,18
10.39.21.217,,Unreachable,18
10.39.21.218,,Unreachable,18
10.39.21.219,,Unreachable,18
10.39.21.220,,Unreachable,18
10.39.21.221,,Unreachable,18
10.39.21.222,,Unreachable,18
10.39.21.223,,Unreachable,18
10.39.21.224,,Unreachable,18
10.39.21.225,,Unreachable,18
10.39.21.226,,Unreachable,18
10.39.21.227,,Unreachable,18
10.39.21.228,,Unreachable,18
10.39.21.229,,Unreachable,18
10.39.21.230,,Unreachable,18
10.39.21.231,,Unreachable,18
10.39.21.232,,Unreachable,18
10.39.21.233,,Unreachable,18
10.39.21.234,,Unreachable,18
10.39.21.235,,Unreachable,18
10.39.21.236,,Unreachable,18
10.39.21.237,,Unreachable,18
10.39.21.238,,Unreachable,18
10.39.21.239,,Unreachable,18
10.39.21.240,,Unreachable,18
10.39.21.241,,Unreachable,18
10.39.21.242,,Unreachable,18
10.39.21.243,,Unreachable,18
10.39.21.244,,Unreachable,18
10.39.21.245,,Unreachable,18
10.39.21.246,,Unreachable,18
10.39.21.247,,Unreachable,18
10.39.21.248,,Unreachable,18
10.39.21.249,,Unreachable,18
10.39.21.250,,Unreachable,18
10.39.21.251,,Unreachable,18
10.39.21.252,,Unreachable,18
10.39.21.253,,Unreachable,18
10.39.21.254,,Unreachable,18
10.39.22.1,,Unreachable,18
10.39.22.2,,Unreachable,18
10.39.22.3,c4b2.3977.2cf6,Reachable,18
10.39.22.4,,Unreachable,18
10.39.22.5,,Unreachable,18
10.39.22.6,,Unreachable,18
10.39.22.7,,Unreachable,18
10.39.22.8,,Unreachable,18
10.39.22.9,,Unreachable,18
10.39.22.10,,Unreachable,18
10.39.22.11,,Unreachable,18
10.39.22.12,,Unreachable,18
10.39.22.13,,Unreachable,18
10.39.22.14,,Unreachable,18
10.39.22.15,,Unreachable,18
10.39.22.16,,Unreachable,18
10.39.22.17,,Unreachable,18
10.39.22.18,,Unreachable,18
10.39.22.19,,Unreachable,18
10.39.22.20,,Unreachable,18
10.39.22.21,,Unreachable,18
10.39.22.22,,Unreachable,18
10.39.22.23,,Unreachable,18
10.39.22.24,,Unreachable,18
10.39.22.25,,Unreachable,18
10.39.22.26,,Unreachable,18
10.39.22.27,,Unreachable,18
10.39.22.28,,Unreachable,18
10.39.22.29,,Unreachable,18
10.39.22.30,,Unreachable,18
10.39.22.31,,Unreachable,18
10.39.22.32,,Unreachable,18
10.39.22.33,,Unreachable,18
10.39.22.34,,Unreachable,18
10.39.22.35,,Unreachable,18
10.39.22.36,,Unreachable,18
10.39.22.37,,Unreachable,18
10.39.22.38,,Unreachable,18
10.39.22.39,,Unreachable,18
10.39.22.40,,Unreachable,18
10.39.22.41,,Unreachable,18
10.39.22.42,,Unreachable,18
10.39.22.43,,Unreachable,18
